///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver 0.9.4                  ///
///                                                                             ///
///        Copyright 2019-2022                                                  ///
///        The Quket Developers                                                 ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
2022-09-16 00:03:13.509674: 
16 processes x 2 = Total 32 cores
API for qulacs: openmp
Number of cpus in the main node (pinode01): 16

##################### INPUT ########################
basis        = hubbard
n_electrons  = 7
multiplicity = 2
hubbard_nx   = 6
hubbard_u    = 8
method       = vqe
ansatz       = uhf
run_fci      = 0

@@@
method       = vqe
ansatz       = uccsd
####################################################

+-------------+
|  Job #   1  |
+-------------+
Hubbard model: 
   nx = 6
   ny = 1
   U  = 8.00
   Ne = 7
TODO: Pauli_list is not supported for ansatz = uhf.
Tapering-Off Results:
List of redundant qubits:  [0, 1]
Qubit: 0    Tau: 1.0 [Z0 Z2 Z4 Z6 Z8 Z10]
Qubit: 1    Tau: 1.0 [Z1 Z3 Z5 Z7 Z9 Z11]

TODO: Pauli_list is not supported for ansatz = uhf.
Tapering-Off Results:
List of redundant qubits:  [0, 1]
Qubit: 0    Tau: 1.0 [Z0 Z2 Z4 Z6 Z8 Z10]
Qubit: 1    Tau: 1.0 [Z1 Z3 Z5 Z7 Z9 Z11]

Entered VQE driver
Number of parameters: Singles 17    Doubles 0    Total 17
Performing VQE for uhf
Number of VQE parameters: 17
Initial configuration: |000001111111>
Convergence criteria: ftol = 1E-09, gtol = 1E-05
Derivatives: Analytical
     1: E[UHF] = 13.094775309531  <S**2> = +1.374397914600914  Grad = 9.67e+00  CPU Time = 0.06866  (0.00315 / step)
     2: E[UHF] = 11.796557575857  <S**2> = +1.655459215550428  Grad = 8.20e+00  CPU Time = 0.03934  (0.00408 / step)
     3: E[UHF] = 9.087525946027  <S**2> = +1.653306932704791  Grad = 2.61e+00  CPU Time = 0.04515  (0.00441 / step)
     4: E[UHF] = 8.594475436260  <S**2> = +1.689381852688425  Grad = 2.67e+00  CPU Time = 0.02712  (0.00437 / step)
     5: E[UHF] = 7.900258430688  <S**2> = +1.708164475646980  Grad = 2.71e+00  CPU Time = 0.04515  (0.00440 / step)
     6: E[UHF] = 7.569279053485  <S**2> = +1.700744476060011  Grad = 2.30e+00  CPU Time = 0.02725  (0.00438 / step)
     7: E[UHF] = 7.155711796064  <S**2> = +1.679560017831552  Grad = 1.72e+00  CPU Time = 0.02739  (0.00435 / step)
     8: E[UHF] = 6.946986936861  <S**2> = +1.714535505977630  Grad = 1.35e+00  CPU Time = 0.04530  (0.00440 / step)
     9: E[UHF] = 6.759473439137  <S**2> = +1.852276616191869  Grad = 1.72e+00  CPU Time = 0.02732  (0.00436 / step)
    10: E[UHF] = 6.589289659428  <S**2> = +2.079863945007490  Grad = 2.16e+00  CPU Time = 0.04537  (0.00443 / step)
    11: E[UHF] = 6.428391384406  <S**2> = +2.409279215104586  Grad = 2.37e+00  CPU Time = 0.02751  (0.00441 / step)
    12: E[UHF] = 6.195730620792  <S**2> = +2.393922131308412  Grad = 1.66e+00  CPU Time = 0.02741  (0.00437 / step)
    13: E[UHF] = 5.915949339442  <S**2> = +2.474979332678284  Grad = 2.41e+00  CPU Time = 0.02696  (0.00434 / step)
    14: E[UHF] = 5.789786309220  <S**2> = +2.473750187587338  Grad = 1.50e+00  CPU Time = 0.02721  (0.00442 / step)
    15: E[UHF] = 5.722602789532  <S**2> = +2.484802268160765  Grad = 8.06e-01  CPU Time = 0.02720  (0.00442 / step)
    16: E[UHF] = 5.685807460888  <S**2> = +2.502523114747929  Grad = 6.06e-01  CPU Time = 0.02746  (0.00442 / step)
    17: E[UHF] = 5.647786393184  <S**2> = +2.489095168210031  Grad = 4.84e-01  CPU Time = 0.02760  (0.00439 / step)
    18: E[UHF] = 5.607125771165  <S**2> = +2.499559128408452  Grad = 5.01e-01  CPU Time = 0.02716  (0.00437 / step)
    19: E[UHF] = 5.593736742030  <S**2> = +2.486875606279491  Grad = 5.17e-01  CPU Time = 0.04511  (0.00440 / step)
    20: E[UHF] = 5.581062855652  <S**2> = +2.489284633464156  Grad = 2.40e-01  CPU Time = 0.02733  (0.00434 / step)
    21: E[UHF] = 5.575934866815  <S**2> = +2.491866810824404  Grad = 1.73e-01  CPU Time = 0.02719  (0.00440 / step)
    22: E[UHF] = 5.573090289834  <S**2> = +2.486956898700889  Grad = 1.42e-01  CPU Time = 0.02732  (0.00445 / step)
    23: E[UHF] = 5.570594834399  <S**2> = +2.485980486130729  Grad = 1.18e-01  CPU Time = 0.02750  (0.00441 / step)
    24: E[UHF] = 5.568668250188  <S**2> = +2.487365368740920  Grad = 1.10e-01  CPU Time = 0.02707  (0.00435 / step)
    25: E[UHF] = 5.567583724325  <S**2> = +2.484519055158443  Grad = 1.22e-01  CPU Time = 0.02762  (0.00444 / step)
    26: E[UHF] = 5.566787439553  <S**2> = +2.486085081035481  Grad = 8.97e-02  CPU Time = 0.02777  (0.00439 / step)
    27: E[UHF] = 5.566346649592  <S**2> = +2.486683580619853  Grad = 4.94e-02  CPU Time = 0.02732  (0.00443 / step)
    28: E[UHF] = 5.566135775176  <S**2> = +2.484515131382667  Grad = 2.21e-02  CPU Time = 0.02713  (0.00443 / step)
    29: E[UHF] = 5.566107897284  <S**2> = +2.484656483382906  Grad = 2.23e-02  CPU Time = 0.02719  (0.00451 / step)
    30: E[UHF] = 5.566089342177  <S**2> = +2.484263056227086  Grad = 1.25e-02  CPU Time = 0.02738  (0.00443 / step)
    31: E[UHF] = 5.566063413143  <S**2> = +2.483862919586428  Grad = 1.31e-02  CPU Time = 0.02717  (0.00435 / step)
    32: E[UHF] = 5.566011721281  <S**2> = +2.483299817543497  Grad = 2.52e-02  CPU Time = 0.02727  (0.00438 / step)
    33: E[UHF] = 5.565923813831  <S**2> = +2.482545270218759  Grad = 3.54e-02  CPU Time = 0.02681  (0.00437 / step)
    34: E[UHF] = 5.565800763023  <S**2> = +2.482383089020392  Grad = 3.52e-02  CPU Time = 0.02734  (0.00438 / step)
    35: E[UHF] = 5.565773331772  <S**2> = +2.482563190200771  Grad = 3.78e-02  CPU Time = 0.04484  (0.00437 / step)
    36: E[UHF] = 5.565690302651  <S**2> = +2.483005167133431  Grad = 1.61e-02  CPU Time = 0.02742  (0.00445 / step)
    37: E[UHF] = 5.565656749156  <S**2> = +2.484125012301452  Grad = 1.54e-02  CPU Time = 0.02715  (0.00437 / step)
    38: E[UHF] = 5.565625841359  <S**2> = +2.484545290191225  Grad = 1.85e-02  CPU Time = 0.02708  (0.00439 / step)
    39: E[UHF] = 5.565581840886  <S**2> = +2.485168867501909  Grad = 3.37e-02  CPU Time = 0.02677  (0.00429 / step)
    40: E[UHF] = 5.565522930828  <S**2> = +2.485331433399322  Grad = 2.41e-02  CPU Time = 0.02727  (0.00441 / step)
    41: E[UHF] = 5.565439901056  <S**2> = +2.484780930565377  Grad = 2.30e-02  CPU Time = 0.02747  (0.00444 / step)
    42: E[UHF] = 5.565256095954  <S**2> = +2.483777937554764  Grad = 4.48e-02  CPU Time = 0.02746  (0.00445 / step)
    43: E[UHF] = 5.565010676753  <S**2> = +2.482949546315096  Grad = 5.92e-02  CPU Time = 0.02731  (0.00443 / step)
    44: E[UHF] = 5.564573447934  <S**2> = +2.483845660814702  Grad = 9.09e-02  CPU Time = 0.03875  (0.01559 / step)
    45: E[UHF] = 5.564183240772  <S**2> = +2.483656058770790  Grad = 6.90e-02  CPU Time = 0.04911  (0.00441 / step)
    46: E[UHF] = 5.563907641846  <S**2> = +2.480368637610686  Grad = 1.12e-01  CPU Time = 0.02392  (0.00439 / step)
    47: E[UHF] = 5.563604236487  <S**2> = +2.479930834719069  Grad = 3.96e-02  CPU Time = 0.02410  (0.00444 / step)
    48: E[UHF] = 5.563373833025  <S**2> = +2.483926897553252  Grad = 4.28e-02  CPU Time = 0.04247  (0.00444 / step)
    49: E[UHF] = 5.563204297421  <S**2> = +2.485410322290368  Grad = 8.10e-02  CPU Time = 0.02499  (0.00446 / step)
    50: E[UHF] = 5.562963800694  <S**2> = +2.483162518817192  Grad = 2.70e-02  CPU Time = 0.02452  (0.00439 / step)
    51: E[UHF] = 5.562761942801  <S**2> = +2.481816645227296  Grad = 2.04e-02  CPU Time = 0.02485  (0.00441 / step)
    52: E[UHF] = 5.562557609462  <S**2> = +2.481449140189049  Grad = 4.44e-02  CPU Time = 0.04501  (0.00442 / step)
    53: E[UHF] = 5.562412399247  <S**2> = +2.482020630533253  Grad = 5.58e-02  CPU Time = 0.04529  (0.00430 / step)
    54: E[UHF] = 5.562062608327  <S**2> = +2.482259786453814  Grad = 2.95e-02  CPU Time = 0.02747  (0.00439 / step)
    55: E[UHF] = 5.561828421736  <S**2> = +2.480776662668662  Grad = 2.84e-02  CPU Time = 0.02747  (0.00442 / step)
    56: E[UHF] = 5.561717299007  <S**2> = +2.481397843444736  Grad = 1.73e-02  CPU Time = 0.04511  (0.00438 / step)
    57: E[UHF] = 5.561669289124  <S**2> = +2.481317348579402  Grad = 2.54e-02  CPU Time = 0.02701  (0.00437 / step)
    58: E[UHF] = 5.561663022873  <S**2> = +2.481342524924037  Grad = 2.41e-02  CPU Time = 0.04528  (0.00441 / step)
    59: E[UHF] = 5.561617716531  <S**2> = +2.481076161711185  Grad = 1.57e-02  CPU Time = 0.02703  (0.00440 / step)
    60: E[UHF] = 5.561555826653  <S**2> = +2.480899063075168  Grad = 1.84e-02  CPU Time = 0.02749  (0.00440 / step)
    61: E[UHF] = 5.561403910879  <S**2> = +2.480022079680246  Grad = 3.02e-02  CPU Time = 0.02734  (0.00437 / step)
    62: E[UHF] = 5.561296754846  <S**2> = +2.480841437990836  Grad = 3.79e-02  CPU Time = 0.04495  (0.00436 / step)
    63: E[UHF] = 5.561256071529  <S**2> = +2.482195067786013  Grad = 3.72e-02  CPU Time = 0.02722  (0.00440 / step)
    64: E[UHF] = 5.561195488472  <S**2> = +2.481472618470135  Grad = 1.92e-02  CPU Time = 0.04488  (0.00442 / step)
    65: E[UHF] = 5.561173143853  <S**2> = +2.480813715396355  Grad = 1.59e-02  CPU Time = 0.02711  (0.00443 / step)
    66: E[UHF] = 5.561140620204  <S**2> = +2.480102861447900  Grad = 1.35e-02  CPU Time = 0.02720  (0.00437 / step)
    67: E[UHF] = 5.561120214586  <S**2> = +2.480399385380406  Grad = 2.27e-02  CPU Time = 0.02759  (0.00440 / step)
    68: E[UHF] = 5.561100791250  <S**2> = +2.480285571487477  Grad = 8.59e-03  CPU Time = 0.02711  (0.00439 / step)
    69: E[UHF] = 5.561091637520  <S**2> = +2.480548696201699  Grad = 5.57e-03  CPU Time = 0.02694  (0.00436 / step)
